               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.022988,            0.019698,           0.0014801,             0.83372,             0.72021,             0.77591,             0.48166,            0.028471,            0.021325,           0.0058036,            0.008317,            0.008317,            0.008317
                  53,            0.023474,            0.021024,           0.0017607,             0.84078,             0.72818,             0.78255,             0.49747,            0.027707,            0.020311,           0.0050782,            0.008284,            0.008284,            0.008284
                  54,            0.023182,            0.021182,           0.0014738,             0.81943,             0.71399,             0.76091,             0.48478,            0.028289,            0.020868,            0.005436,            0.008251,            0.008251,            0.008251
                  55,            0.023948,            0.021423,           0.0014297,             0.90074,              0.6833,             0.76205,             0.48283,            0.028373,            0.021088,           0.0057524,            0.008218,            0.008218,            0.008218
                  56,            0.023617,            0.019937,           0.0013711,             0.78974,             0.72826,             0.74624,             0.47665,            0.028731,            0.020864,           0.0057519,            0.008185,            0.008185,            0.008185
                  57,            0.022559,              0.0197,           0.0014755,             0.84237,             0.74095,             0.78465,             0.50031,            0.027391,            0.019823,           0.0055159,            0.008152,            0.008152,            0.008152
                  58,            0.023863,            0.020325,           0.0015596,             0.87982,             0.64952,              0.7264,             0.47505,            0.027949,            0.021008,           0.0063839,            0.008119,            0.008119,            0.008119
                  59,            0.022888,            0.020538,           0.0013239,             0.93154,             0.67005,             0.77117,             0.48493,             0.02857,            0.021023,           0.0055899,            0.008086,            0.008086,            0.008086
                  60,            0.023281,            0.020733,           0.0013427,             0.81848,             0.71095,             0.76976,             0.49427,             0.02816,            0.020432,           0.0052102,            0.008053,            0.008053,            0.008053
                  61,            0.022612,            0.019765,           0.0013918,             0.84648,             0.73543,             0.78688,              0.5066,            0.027945,            0.020511,           0.0050615,             0.00802,             0.00802,             0.00802
                  62,             0.02242,            0.020436,           0.0013981,             0.87589,             0.70229,             0.79228,             0.51495,            0.028476,            0.020987,           0.0048795,            0.007987,            0.007987,            0.007987
                  63,            0.022425,            0.019366,           0.0012512,             0.85856,             0.74776,             0.79933,             0.50965,            0.028579,            0.020064,           0.0046012,            0.007954,            0.007954,            0.007954
                  64,            0.022387,            0.019848,            0.001288,             0.86037,             0.65493,             0.71674,              0.4569,            0.028495,             0.02062,           0.0073383,            0.007921,            0.007921,            0.007921
                  65,            0.022279,            0.019786,           0.0013149,             0.83902,             0.69991,             0.75293,             0.48554,             0.02827,            0.020531,           0.0060133,            0.007888,            0.007888,            0.007888
                  66,             0.02203,            0.019062,           0.0011345,             0.87395,             0.68634,             0.75689,             0.48138,            0.028862,            0.020734,           0.0062696,            0.007855,            0.007855,            0.007855
                  67,            0.021884,            0.018342,           0.0013996,             0.84205,             0.66146,             0.73284,             0.46221,            0.028656,            0.021481,           0.0067087,            0.007822,            0.007822,            0.007822
                  68,            0.021606,            0.019095,           0.0012098,              0.8578,             0.74307,             0.78954,             0.50373,            0.027882,            0.020305,            0.005953,            0.007789,            0.007789,            0.007789
                  69,            0.021785,            0.019444,           0.0013384,              0.8649,             0.66192,             0.75896,              0.4882,            0.028402,            0.021134,           0.0060796,            0.007756,            0.007756,            0.007756
                  70,            0.022096,            0.019257,            0.001293,              0.7957,             0.69561,             0.73395,              0.4657,            0.028016,            0.020893,           0.0066526,            0.007723,            0.007723,            0.007723
                  71,            0.021793,            0.019532,           0.0012859,             0.77205,              0.7379,             0.75709,             0.48598,            0.028462,            0.021105,           0.0059761,             0.00769,             0.00769,             0.00769
                  72,            0.021485,            0.018131,           0.0013374,             0.85002,             0.71445,             0.75611,             0.49019,             0.02859,            0.021061,           0.0059992,            0.007657,            0.007657,            0.007657
                  73,             0.02214,            0.019847,           0.0012632,             0.90522,             0.66067,             0.74269,             0.48435,            0.028261,            0.021542,           0.0060305,            0.007624,            0.007624,            0.007624
                  74,             0.02145,             0.01949,           0.0012988,              0.8501,             0.73162,             0.76293,             0.50089,            0.028539,            0.021446,           0.0058907,            0.007591,            0.007591,            0.007591
                  75,            0.021808,             0.02021,           0.0013454,              0.8608,              0.7149,             0.76093,             0.49114,            0.028293,             0.02142,           0.0053005,            0.007558,            0.007558,            0.007558
                  76,            0.021166,            0.018304,           0.0013236,             0.85982,             0.69579,             0.74737,             0.49637,            0.028279,            0.021675,           0.0061546,            0.007525,            0.007525,            0.007525
                  77,            0.020578,            0.018902,            0.001242,             0.80955,             0.74629,             0.76693,             0.50545,            0.028127,            0.021276,           0.0051695,            0.007492,            0.007492,            0.007492
                  78,            0.021198,             0.01889,           0.0010833,             0.82198,             0.71578,             0.74891,             0.49235,            0.027688,            0.021378,           0.0056219,            0.007459,            0.007459,            0.007459
                  79,            0.021361,             0.01958,            0.001141,              0.8956,             0.73334,             0.77597,             0.50751,             0.02774,            0.021464,           0.0048273,            0.007426,            0.007426,            0.007426
                  80,            0.019923,            0.018449,            0.001113,             0.88191,             0.72343,             0.76907,             0.50555,            0.028402,            0.022136,           0.0054132,            0.007393,            0.007393,            0.007393
                  81,            0.020573,            0.018071,           0.0013584,             0.79122,             0.72728,             0.76012,             0.49627,            0.028434,            0.021911,           0.0067173,             0.00736,             0.00736,             0.00736
                  82,            0.020765,            0.018382,           0.0012186,             0.90846,             0.69249,             0.75651,             0.49882,            0.027622,            0.021273,           0.0056403,            0.007327,            0.007327,            0.007327
                  83,            0.020497,            0.018987,           0.0010712,             0.90631,             0.67641,             0.74778,             0.49873,            0.027697,            0.021462,            0.006158,            0.007294,            0.007294,            0.007294
                  84,            0.020968,            0.018112,           0.0011328,             0.85447,             0.71966,              0.7447,             0.48741,             0.02845,            0.021611,           0.0059754,            0.007261,            0.007261,            0.007261
                  85,            0.020851,            0.018819,           0.0011006,             0.84917,             0.73176,             0.77614,             0.51299,            0.027433,            0.020973,           0.0052922,            0.007228,            0.007228,            0.007228
                  86,            0.020573,            0.018287,           0.0012254,             0.88463,             0.69956,             0.75915,             0.49642,            0.028362,            0.022306,           0.0054784,            0.007195,            0.007195,            0.007195
                  87,            0.020821,            0.018402,           0.0011355,             0.81875,             0.70217,             0.74435,              0.4935,            0.027769,            0.021869,           0.0063846,            0.007162,            0.007162,            0.007162
                  88,            0.020191,             0.01836,           0.0011057,              0.8573,             0.70315,             0.74882,             0.49641,            0.027681,            0.021182,           0.0063077,            0.007129,            0.007129,            0.007129
                  89,            0.020389,            0.018925,           0.0009906,              0.8351,             0.71993,             0.75297,             0.49233,            0.028835,            0.021804,           0.0060104,            0.007096,            0.007096,            0.007096
                  90,            0.020053,            0.018031,            0.000975,             0.73295,             0.72416,             0.74422,              0.4787,            0.028358,            0.021474,           0.0069419,            0.007063,            0.007063,            0.007063
                  91,            0.020651,            0.018681,           0.0012203,             0.81051,             0.72502,             0.77843,             0.50955,            0.027675,             0.02091,           0.0054108,             0.00703,             0.00703,             0.00703
                  92,            0.019763,            0.018161,          0.00092751,             0.80759,             0.73014,             0.75863,             0.50594,            0.027612,             0.02086,           0.0058869,            0.006997,            0.006997,            0.006997
                  93,            0.019731,            0.018927,           0.0010901,              0.8371,             0.67556,               0.736,             0.47075,            0.028326,            0.021913,            0.006053,            0.006964,            0.006964,            0.006964
                  94,            0.020209,            0.018991,           0.0011917,             0.82373,             0.72947,             0.74982,             0.49672,              0.0281,             0.02202,           0.0052456,            0.006931,            0.006931,            0.006931
                  95,            0.018826,            0.018213,          0.00089464,              0.8616,             0.70679,             0.76681,             0.49696,            0.028429,            0.021358,           0.0051601,            0.006898,            0.006898,            0.006898
                  96,            0.019583,            0.018537,           0.0010662,             0.83977,             0.74222,             0.78828,             0.52159,            0.027457,            0.021698,           0.0055245,            0.006865,            0.006865,            0.006865
                  97,            0.019638,              0.0179,           0.0010209,             0.81329,              0.7227,             0.76211,             0.50426,            0.027779,            0.022098,           0.0058185,            0.006832,            0.006832,            0.006832
                  98,            0.019021,            0.017457,           0.0010531,             0.80656,             0.75155,             0.79453,             0.52483,            0.027522,            0.021212,           0.0052735,            0.006799,            0.006799,            0.006799
                  99,             0.01911,            0.017049,           0.0011018,             0.84234,             0.73701,             0.77594,             0.50864,            0.027503,            0.021039,           0.0054027,            0.006766,            0.006766,            0.006766
                 100,            0.019585,            0.017353,           0.0011457,             0.90147,              0.6783,             0.73704,             0.47536,            0.028379,            0.022604,           0.0058914,            0.006733,            0.006733,            0.006733
                 101,            0.019041,            0.017507,            0.001067,             0.90172,             0.72921,             0.77401,             0.49724,            0.028113,            0.021871,           0.0053955,              0.0067,              0.0067,              0.0067
                 102,            0.018663,            0.016892,          0.00098997,             0.89411,             0.69285,             0.75506,             0.49918,            0.027298,            0.022561,           0.0061282,            0.006667,            0.006667,            0.006667
                 103,            0.019683,            0.017369,           0.0010304,              0.8618,             0.70779,              0.7694,             0.49829,            0.027587,            0.021643,           0.0053484,            0.006634,            0.006634,            0.006634
                 104,            0.019211,            0.017082,           0.0010598,             0.90004,             0.70885,             0.78243,             0.51597,            0.027291,            0.020886,           0.0052416,            0.006601,            0.006601,            0.006601
                 105,            0.018867,            0.017502,           0.0010311,             0.88751,             0.71134,               0.782,              0.5124,            0.028129,            0.021835,           0.0056042,            0.006568,            0.006568,            0.006568
                 106,            0.018555,            0.017005,          0.00096179,             0.93254,             0.72489,             0.78916,             0.52403,            0.027257,            0.021038,           0.0051303,            0.006535,            0.006535,            0.006535
                 107,            0.019388,            0.017183,           0.0011575,             0.90159,             0.73749,             0.79027,             0.52299,            0.027538,            0.021102,           0.0051609,            0.006502,            0.006502,            0.006502
                 108,            0.019047,            0.017747,           0.0012315,             0.85469,             0.73049,             0.77736,             0.51472,            0.027516,            0.021896,           0.0053129,            0.006469,            0.006469,            0.006469
                 109,             0.01881,            0.017247,          0.00093534,             0.88792,             0.66768,             0.74171,             0.49891,            0.028064,            0.023188,           0.0056778,            0.006436,            0.006436,            0.006436
                 110,            0.018638,            0.017053,          0.00095181,             0.88021,             0.69081,             0.76147,             0.50676,            0.027517,            0.021731,           0.0056838,            0.006403,            0.006403,            0.006403
